image,illum,link,photons,seed,method,PSNR,SSIM,LPIPS,angerr,pearson
ship,GAM4,DT30,10000.0,2,MAVE-16,27.398073980756447,0.9449446378509759,nan,3.1835576303973556,0.9819912178593485
truck,GAM4,DT30,10000.0,2,MAVE-16,32.696380641499026,0.9916300859138997,nan,2.741930055975292,0.9963508455204534
cat,CORR-LOGN,DT30,10000.0,0,SCORE-OR,1.0431841977279233,0.008189851835247319,nan,62.988077491533026,-0.028853930451987263
deer,CORR-LOGN,DT30,10000.0,0,SCORE-OR,3.7493456605292415,-0.014117370266169754,nan,66.19900433376819,0.0655103120142142
dog,CORR-LOGN,DT30,10000.0,0,SCORE-OR,-4.031191252595426,-0.01893867003511472,nan,61.62199174785982,-0.19909750995302067
horse,CORR-LOGN,DT30,10000.0,0,SCORE-OR,-0.8624294217694174,-0.014419518353146152,nan,66.35481981924055,-0.2294017170446122
airplane,CORR-LOGN,DT30,10000.0,0,SCORE-OR,0.06189851163570805,0.026216416603122805,nan,58.34581225422595,0.21321377461218416
car,CORR-LOGN,DT30,10000.0,0,SCORE-OR,3.835018553728273,0.022983825487403697,nan,61.64335707067107,0.13478975659595707
ship,CORR-LOGN,DT30,10000.0,0,SCORE-OR,-2.574597961393592,0.015094594855532576,nan,61.05648052043404,0.10381915101058886
truck,CORR-LOGN,DT30,10000.0,0,SCORE-OR,2.093140128718574,-0.020682145236645674,nan,67.26304181129761,-0.025580253046041612
cat,CORR-LOGN,DT30,10000.0,0,WHITEN-OR,2.538085972083085,-0.0023239647201290766,nan,58.8832279995999,-0.04347640806422887
deer,CORR-LOGN,DT30,10000.0,0,WHITEN-OR,5.562960046465747,0.07027456138967697,nan,59.128063052981204,0.17139921073888384
dog,CORR-LOGN,DT30,10000.0,0,WHITEN-OR,-2.8404730846012534,0.02959715231466969,nan,56.6793838797682,0.09974448786654586
horse,CORR-LOGN,DT30,10000.0,0,WHITEN-OR,0.4376977749582922,0.03859405710804348,nan,58.30289629328006,0.0851461773984265
airplane,CORR-LOGN,DT30,10000.0,0,WHITEN-OR,1.0115992916704257,-0.029458837296541734,nan,59.67790158043019,-0.13231596793054082
car,CORR-LOGN,DT30,10000.0,0,WHITEN-OR,4.007488249069937,0.017518874861832928,nan,64.67279426434865,-0.00973645951456693
ship,CORR-LOGN,DT30,10000.0,0,WHITEN-OR,-0.709776902802704,0.007176089010450509,nan,56.946361139610694,0.004795891064328594
truck,CORR-LOGN,DT30,10000.0,0,WHITEN-OR,3.7853143017472886,0.07638401293087023,nan,60.87749550178046,0.05946568014305986
cat,CORR-LOGN,DT30,10000.0,0,WHITEN-LW,15.135906608065815,0.6094903301345251,nan,18.649015579982002,0.6912500732840058
deer,CORR-LOGN,DT30,10000.0,0,WHITEN-LW,16.115574854040617,0.5017887930224698,nan,21.423070355099888,0.830513094562781
dog,CORR-LOGN,DT30,10000.0,0,WHITEN-LW,8.816311103698007,0.12375387698598697,nan,21.80050970148145,0.24288211525010597
horse,CORR-LOGN,DT30,10000.0,0,WHITEN-LW,13.040459559998263,0.5491480497994581,nan,19.53133885804184,0.6742250013891355
airplane,CORR-LOGN,DT30,10000.0,0,WHITEN-LW,12.879648904153223,0.382151354556376,nan,20.766548972306655,0.5975522040036064
car,CORR-LOGN,DT30,10000.0,0,WHITEN-LW,15.374288024736636,0.7556567595108205,nan,20.805407588541787,0.8341791077866413
ship,CORR-LOGN,DT30,10000.0,0,WHITEN-LW,10.409566193463055,0.3105702475591004,nan,21.527839984519723,0.5775950335427591
truck,CORR-LOGN,DT30,10000.0,0,WHITEN-LW,14.757175631767641,0.5738928254316528,nan,21.331133868065915,0.7979285384855332
cat,CORR-LOGN,DT30,10000.0,0,SIR-10,8.006932573909719,0.19520181853572827,nan,38.46400826639962,0.2795446854573684
deer,CORR-LOGN,DT30,10000.0,0,SIR-10,10.443267630102282,0.19381357522082632,nan,39.12875353249341,0.522823352335579
dog,CORR-LOGN,DT30,10000.0,0,SIR-10,1.9146003743920676,0.025869239368205767,nan,41.67135707103871,0.06198219959718157
horse,CORR-LOGN,DT30,10000.0,0,SIR-10,6.419957090684213,0.2130149674085657,nan,37.56105543327391,0.3562963164465266
airplane,CORR-LOGN,DT30,10000.0,0,SIR-10,5.8589395521546175,0.09615703422651531,nan,40.88193331129436,0.25310024048137164
car,CORR-LOGN,DT30,10000.0,0,SIR-10,9.109224821093152,0.36111621604174376,nan,40.26490725031423,0.4956064495668187
ship,CORR-LOGN,DT30,10000.0,0,SIR-10,3.7391195344822004,0.0710351770934351,nan,41.099183531133924,0.21823909847427403
truck,CORR-LOGN,DT30,10000.0,0,SIR-10,8.37438729119419,0.22713488983869964,nan,40.419977373262,0.4733170267672455
cat,CORR-LOGN,DT30,10000.0,0,SIR-20,9.625924164010073,0.30696717712706767,nan,32.993100673525326,0.38634310106601605
deer,CORR-LOGN,DT30,10000.0,0,SIR-20,11.2590060309666,0.2502514471766279,nan,35.42476345053898,0.6089421007744473
dog,CORR-LOGN,DT30,10000.0,0,SIR-20,3.8110173837177213,0.04851898929353226,nan,35.46571730844224,0.12824631899676528
horse,CORR-LOGN,DT30,10000.0,0,SIR-20,7.850331664530669,0.28553739970343595,nan,33.07556454802753,0.4151607905720854
airplane,CORR-LOGN,DT30,10000.0,0,SIR-20,7.485941770460469,0.14079897096792734,nan,35.46148863353446,0.3334046652675264
car,CORR-LOGN,DT30,10000.0,0,SIR-20,11.027405506001644,0.5178615816712409,nan,33.15014637471193,0.6295307023970607
ship,CORR-LOGN,DT30,10000.0,0,SIR-20,5.77507141363422,0.1193909043343401,nan,34.2185154948229,0.33675841569456266
truck,CORR-LOGN,DT30,10000.0,0,SIR-20,9.844977105054674,0.34568011609535915,nan,34.771963193043305,0.5878852858229916
cat,CORR-LOGN,DT30,10000.0,0,L-ISOTRON,15.135945621203195,0.6095394591635529,nan,18.648394744663,0.6913519571005231
deer,CORR-LOGN,DT30,10000.0,0,L-ISOTRON,16.115391605131176,0.5018554751207646,nan,21.418004391129173,0.8307128132600643
dog,CORR-LOGN,DT30,10000.0,0,L-ISOTRON,8.816409276407155,0.12375975377135219,nan,21.800365653533127,0.2428063998025222
horse,CORR-LOGN,DT30,10000.0,0,L-ISOTRON,13.040872134652663,0.5492055578462969,nan,19.530418189339052,0.6742542408443819
airplane,CORR-LOGN,DT30,10000.0,0,L-ISOTRON,12.879648904153223,0.382151354556376,nan,20.766548972306655,0.5975522040036064
car,CORR-LOGN,DT30,10000.0,0,L-ISOTRON,15.374288024736636,0.7556567595108205,nan,20.805407588541787,0.8341791077866413
ship,CORR-LOGN,DT30,10000.0,0,L-ISOTRON,10.409853984580144,0.3106847619368676,nan,21.526279346449545,0.5778323838151732
truck,CORR-LOGN,DT30,10000.0,0,L-ISOTRON,14.75745384333188,0.5739750125195979,nan,21.329458970868345,0.7979940188980619
cat,CORR-LOGN,DT30,10000.0,0,GI,15.025244628249778,0.3462398269306718,nan,19.672302568795065,0.40913326338127276
deer,CORR-LOGN,DT30,10000.0,0,GI,16.885325181981116,0.5854889592950722,nan,20.48727316870321,0.8209322408186446
dog,CORR-LOGN,DT30,10000.0,0,GI,12.837906316145764,0.06641869241706841,nan,14.336567681461307,-0.2860360108359677
horse,CORR-LOGN,DT30,10000.0,0,GI,13.183052131988862,0.3600736903400074,nan,20.24956739958425,0.26241244630042276
airplane,CORR-LOGN,DT30,10000.0,0,GI,16.999175887589985,0.5784350043340813,nan,13.460823145482243,0.7004668693637082
car,CORR-LOGN,DT30,10000.0,0,GI,16.733386174887023,0.7213852085852462,nan,18.1198711446066,0.8665164629614308
ship,CORR-LOGN,DT30,10000.0,0,GI,14.663012506979216,0.4719277313973649,nan,13.862027475006379,0.6395266679443575
truck,CORR-LOGN,DT30,10000.0,0,GI,13.988148123497462,0.40817218705033553,nan,24.282009856897318,0.7003143768140173
cat,CORR-LOGN,DT30,10000.0,0,MLE-OR,19.992263554917677,0.8204120973223769,nan,10.935392998893466,0.8549623891516211
deer,CORR-LOGN,DT30,10000.0,0,MLE-OR,21.532847911104795,0.7682476352265318,nan,11.742612652165901,0.9444331971122015
dog,CORR-LOGN,DT30,10000.0,0,MLE-OR,14.884429642542145,0.3463363860191083,nan,11.248496160922635,0.4518107334846555
horse,CORR-LOGN,DT30,10000.0,0,MLE-OR,18.810765584010717,0.7919273405206847,nan,10.354745401744932,0.8693139815099873
airplane,CORR-LOGN,DT30,10000.0,0,MLE-OR,18.981349468131885,0.6545049543469357,nan,10.668788796935713,0.8231249895361978
